owner,ticker,asset_type,type,amount,state,party,industry,senator
Joint,QCOM,Stock,Purchase,"$500,000 ",AL,Republican,Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Joint,PYPL,Stock,Purchase,"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,NVDA,Stock Option,Sale (Full),"$50,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,PYPL,Stock Option,Sale (Full),"$100,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock Option,Purchase,"$100,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,QCOM,Stock Option,Purchase,"$15,000 ",AL,Republican,Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Joint,NVDA,Stock Option,Purchase,"$50,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,SSYS,Stock,Purchase,"$15,000 ",AL,Republican,Computer peripheral equipment,Tommy Tuberville
Joint,SSYS,Stock,Purchase,"$50,000 ",AL,Republican,Computer peripheral equipment,Tommy Tuberville
Joint,INTC,Stock,Purchase,"$50,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,NVDA,Stock Option,Purchase,"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,EVT,Stock,Purchase,"$50,000 ",AL,Republican,Finance Companies,Tommy Tuberville
Joint,ECOM,Stock,Purchase,"$15,000 ",AL,Republican,,Tommy Tuberville
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
Spouse,WFC,Stock,Purchase,"$15,000 ",KY,Republican,Major Banks,Mitch Mcconnell
Joint,X,Stock Option,Sale (Partial),"$50,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock Option,Sale (Full),"$50,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Purchase,"$250,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,PYPL,Stock,Purchase,"$100,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Purchase,"$500,000 ",AL,Republican,Business Services,Tommy Tuberville
Spouse,ABYIX,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GSMYX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FCPIX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,JCI,Stock,Sale (Full),"$15,000 ",DE,Democrat,Other Consumer Services,Thomas R. Carper
Spouse,LUBYX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,ABYIX,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GSMYX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,IVV,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GLD,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GNR,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,CIBR,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,QTEC,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FDN,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,RTH,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FINX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,NXTG,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Susan M. Collins
Self,LMND,Stock,Sale (Partial),"$15,000 ",TN,Republican,Property-Casualty Insurers,Bill Hagerty
Spouse,LBRDK,Stock,Sale (Partial),"$250,000 ",CO,Democrat,Television Services,John W. Hickenlooper
Spouse,LBRDK,Stock,Sale (Partial),"$250,000 ",CO,Democrat,Television Services,John W. Hickenlooper
Spouse,LSXMK,Stock,Sale (Partial),"$500,000 ",CO,Democrat,Broadcasting,John W. Hickenlooper
Spouse,LSXMK,Stock,Sale (Partial),"$250,000 ",CO,Democrat,Broadcasting,John W. Hickenlooper
Self,FSK,Stock,Purchase,"$15,000 ",MI,Democrat,,Gary C. Peters
Spouse,TCF,Stock,Exchange,"$250,000 ",MN,Democrat,,Tina Smith
Self,SQ,Stock,Sale (Full),"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Self,PYPL,Stock,Purchase,"$50,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Sale (Full),"$100,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock Option,Purchase,"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock Option,Sale (Full),"$100,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,ECOM,Stock,Purchase,"$250,000 ",AL,Republican,,Tommy Tuberville
Self,IRT,Stock,Sale (Full),"$50,000 ",SD,Republican,Real Estate Investment Trusts,John Thune
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
Spouse,RTX,Stock,Exchange,"$15,000 ",DE,Democrat,Aerospace,Thomas R. Carper
Spouse,GOLD,Stock,Sale (Full),"$15,000 ",DE,Democrat,Precious Metals,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Christopher A. Coons
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Tina Smith
Self,TACO,Stock,Sale (Partial),"$50,000 ",TN,Republican,,Bill Hagerty
Joint,WST,Stock,Sale (Full),"$15,000 ",AL,Republican,Specialty Chemicals,Tommy Tuberville
Joint,VEEV,Stock,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,VMW,Stock,Sale (Full),"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,SNA,Stock,Sale (Full),"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,SIVB,Stock,Sale (Full),"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,SPGI,Stock,Sale (Full),"$15,000 ",AL,Republican,Finance: Consumer Services,Tommy Tuberville
Joint,ROK,Stock,Sale (Full),"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,REGN,Stock,Sale (Full),"$15,000 ",AL,Republican,Major Pharmaceuticals,Tommy Tuberville
Joint,NFLX,Stock,Sale (Full),"$15,000 ",AL,Republican,Consumer Electronics/Video Chains,Tommy Tuberville
Joint,LMST,Stock,Purchase,"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,KEY,Stock,Purchase,"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,INTU,Stock,Sale (Full),"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,GNRC,Stock,Sale (Full),"$15,000 ",AL,Republican,Metal Fabrications,Tommy Tuberville
Joint,FGBI,Stock,Purchase,"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,FITB,Stock,Purchase,"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,EXP,Stock,Sale (Full),"$15,000 ",AL,Republican,Building Materials,Tommy Tuberville
Joint,DEO,Stock,Sale (Full),"$15,000 ",AL,Republican,Beverages (Production/Distribution),Tommy Tuberville
Joint,CFG,Stock,Purchase,"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,CE,Stock,Sale (Full),"$15,000 ",AL,Republican,Major Chemicals,Tommy Tuberville
Joint,CP,Stock,Sale (Full),"$15,000 ",AL,Republican,Railroads,Tommy Tuberville
Joint,CABO,Stock,Sale (Full),"$15,000 ",AL,Republican,Telecommunications Equipment,Tommy Tuberville
Joint,BKE,Stock,Sale (Full),"$15,000 ",AL,Republican,Clothing/Shoe/Accessory Stores,Tommy Tuberville
Joint,BIO,Stock,Sale (Full),"$15,000 ",AL,Republican,Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
Joint,BMO,Stock,Purchase,"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,TMO,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,RMD,Stock,Purchase,"$15,000 ",AL,Republican,Medical/Dental Instruments,Tommy Tuberville
Joint,RF,Stock,Purchase,"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,NOC,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,NDAQ,Stock,Purchase,"$15,000 ",AL,Republican,Investment Bankers/Brokers/Service,Tommy Tuberville
Joint,MRK,Stock,Purchase,"$15,000 ",AL,Republican,Major Pharmaceuticals,Tommy Tuberville
Joint,MASI,Stock,Purchase,"$15,000 ",AL,Republican,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tommy Tuberville
Joint,MMC,Stock,Purchase,"$15,000 ",AL,Republican,Specialty Insurers,Tommy Tuberville
Joint,MKSI,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,HUMA,Stock,Purchase,"$50,000 ",AL,Republican,Biotechnology: Pharmaceutical Preparations,Tommy Tuberville
Joint,HON,Stock,Purchase,"$15,000 ",AL,Republican,Aerospace,Tommy Tuberville
Joint,GFI,Stock,Purchase,"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,IT,Stock,Purchase,"$15,000 ",AL,Republican,Other Consumer Services,Tommy Tuberville
Joint,DHI,Stock,Purchase,"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,CDNS,Stock,Purchase,"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,AME,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,GOOG,Stock,Purchase,"$15,000 ",AL,Republican,"Computer Software: Programming, Data Processing",Tommy Tuberville
Joint,ABBV,Stock,Purchase,"$15,000 ",AL,Republican,Major Pharmaceuticals,Tommy Tuberville
Joint,GOLD,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,GOLD,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,MSFT,Stock Option,Sale (Full),"$50,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,SCCO,Stock Option,Purchase,"$15,000 ",AL,Republican,Metal Mining,Tommy Tuberville
Joint,NU,Stock Option,Purchase,"$15,000 ",AL,Republican,Finance: Consumer Services,Tommy Tuberville
Joint,ECOM,Stock,Purchase,"$50,000 ",AL,Republican,,Tommy Tuberville
Joint,NU,Stock,Purchase,"$50,000 ",AL,Republican,Finance: Consumer Services,Tommy Tuberville
Joint,ECOM,Stock,Purchase,"$100,000 ",AL,Republican,,Tommy Tuberville
Spouse,KWEB,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,PSQ,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SH,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,PSQ,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SH,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,PSQ,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SH,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,PSQ,Other Securities,Purchase,"$50,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SH,Other Securities,Purchase,"$50,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GLD,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GNR,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MOO,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MAXR,Stock,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GLD,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GNR,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GDXJ,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MOO,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FCPIX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SBIO,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,CFA,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,DGRS,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,NXTG,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Bill Hagerty
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
Spouse,AAPL,Stock,Sale (Partial),"$100,000 ",OR,Democrat,Computer Manufacturing,Ron Wyden
Spouse,AAPL,Stock,Purchase,"$100,000 ",OR,Democrat,Computer Manufacturing,Ron Wyden
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Patrick J. Toomey
Spouse,WFC,Stock,Purchase,"$15,000 ",KY,Republican,Major Banks,Mitch Mcconnell
Spouse,NEE,Stock,Sale (Partial),"$15,000 ",WV,Republican,Electric Utilities: Central,Shelley Moore Capito
Spouse,MSFT,Stock,Sale (Partial),"$15,000 ",WV,Republican,Computer Software: Prepackaged Software,Shelley Moore Capito
Spouse,LHX,Stock,Sale (Partial),"$15,000 ",WV,Republican,Industrial Machinery/Components,Shelley Moore Capito
Spouse,LOW,Stock,Sale (Partial),"$15,000 ",WV,Republican,RETAIL: Building Materials,Shelley Moore Capito
Spouse,AAPL,Stock,Sale (Partial),"$15,000 ",WV,Republican,Computer Manufacturing,Shelley Moore Capito
Joint,OXY,Stock,Sale (Partial),"$100,000 ",AL,Republican,Oil & Gas Production,Tommy Tuberville
Joint,ARKK,Stock Option,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,ARKK,Stock Option,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,X,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
